app	loop	share	class	family	tree
starcraft	smackw32+0x1000ee4f	2.93	STREAM	REFILL+TABLE_DECODE	same, other tree
starcraft	smackw32+0x1000ef03	4.04	OTHER	CALL_GLUE	three-deep global pointer rotate (decoder state save/restore)
starcraft	smackw32+0x1000efea	2.90	OTHER	CALL_GLUE	same rotate + ret
starcraft	smackw32+0x1000ee0a	2.17	STREAM	TABLE_DECODE	and(a,0xfc)->ld32 table; and(a,3)->jmp [tbl+i*4] ; 4-way computed dispatch on residual bit count
starcraft	smackw32+0x1000efd2	2.62	OTHER	FIELD_REPACK	ror edx,16; ax=dx; ror edx,16 (16-bit halves swap)
starcraft	smackw32+0x1000eef2	1.87	OTHER	CMP_SKIP	cmp ld32(ld32(g)), edx
starcraft	smackw32+0x1000ee40	1.50	OTHER	CMP_SKIP	cnt=ld8(g); cmp 0x20 ; refill test
starcraft	smackw32+0x1000ef19	1.50	OTHER	CMP_SKIP	same refill test
starcraft	smackw32+0x1000e39a	1.41	STREAM	TABLE_DECODE	p+=d; v=ld32(p); test sign bit ; tree node walk
starcraft	smackw32+0x10012632	1.41	ARITH	CARRY_STRIDE	add8(cl,al); adc8(ch,0); v=ld32(ld32(g)); test sign ; 8.8 accumulate with carry into high byte
starcraft	smackw32+0x1001266f	1.41	ARITH	CARRY_STRIDE	add8(ch,al); ror ecx,16 ; second component
starcraft	smackw32+0x100126ac	1.41	ARITH	CARRY_STRIDE	third component
starcraft	smackw32+0x100126e9	1.41	ARITH	CARRY_STRIDE	fourth component
starcraft	storm+0x15026807	1.87	OTHER	ADDR_SCALE	i=shl(and(ld32(p+4),0xff),2); three ld32(esp+i+d) pointer loads, subtract bases, sum three ld32 ; MPQ hash-table probe
