app	loop	share	class	family	tree
rct-loading	RCT+0x0042f5d0	1.29	OTHER	IO_POLL	cmp8(L8[g],0) ; re-entrancy flag poll at the head of the same timer routine
rct-loading	RCT+0x008fb7a2	1.25	OTHER	COUNTER	dst=add(dst,1); n=sub16(n,1) ; transparent-pixel skip arm of the keyed LUT blit, unrolled copy 1
rct-loading	RCT+0x008fb7b3	1.24	OTHER	COUNTER	dst=add(dst,1); n=sub16(n,1) ; same skip arm, unrolled copy 2
rct-loading	RCT+0x008fb7c4	1.22	OTHER	COUNTER	dst=add(dst,1); n=sub16(n,1) ; same skip arm, unrolled copy 3
rct-loading	RCT+0x008fb7d5	1.18	OTHER	COUNTER	dst=add(dst,1); n=sub16(n,1) ; same skip arm, unrolled copy 4, branches back to the head at 0x008fb796
rct-loading	RCT+0x008fb999	1.01	OTHER	COUNTER	row=add(row,zext16(L16[g_stride])); st16(g_rows,sub16(L16[g_rows],1)) ; sprite row advance, both the stride and the remaining-row count held in globals
rct-loading	RCT+0x008fb9ce	1.00	STREAM	RLE_TOKEN	t=L16[p]; st8(g_flag,and(t,0xff)); p=add(p,2); n=and(t,0x7f); x=shr(t,8); src=p; p=add(p,n); dst=row; cmp(sub(x,L32[g_clipleft]),0) ; byte-identical RLE header block, second entry point of the same blitter
rct-loading	RCT+0x008fb972	0.81	OTHER	CMP_SKIP	cmp16(sub(add(x,n),L16[g_clipright]),0) ; right-edge clip test on the run just decoded
rct-loading	RCT+0x008fc07a	0.81	ARITH	LUT_XLAT	st8(dst+k, L8[tbl+L8[src+k]]) for k=5..0 descending; xchg(g_tbl,tbl); test8(L8[g_flag],0x80) ; fully unrolled 6-pixel remapped run, table base swapped through a global at the end
rct-loading	RCT+0x008fc083	0.78	ARITH	LUT_XLAT	st8(dst+k, L8[tbl+L8[src+k]]) for k=4..0; xchg(g_tbl,tbl); test8(L8[g_flag],0x80) ; same unrolled run, 5-pixel entry point
rct-loading	RCT+0x008fc071	0.77	ARITH	LUT_XLAT	st8(dst+k, L8[tbl+L8[src+k]]) for k=6..0; xchg(g_tbl,tbl); test8(L8[g_flag],0x80) ; same unrolled run, 7-pixel entry point
rct-loading	RCT+0x008fc068	0.77	ARITH	LUT_XLAT	st8(dst+k, L8[tbl+L8[src+k]]) for k=7..0; xchg(g_tbl,tbl); test8(L8[g_flag],0x80) ; same unrolled run, 8-pixel entry point
rct-loading	RCT+0x008fc056	0.77	ARITH	LUT_XLAT	st8(dst+k, L8[tbl+L8[src+k]]) for k=9..0; xchg(g_tbl,tbl); test8(L8[g_flag],0x80) ; same unrolled run, 10-pixel entry point
rct-loading	RCT+0x008fc05f	0.76	ARITH	LUT_XLAT	st8(dst+k, L8[tbl+L8[src+k]]) for k=8..0; xchg(g_tbl,tbl); test8(L8[g_flag],0x80) ; same unrolled run, 9-pixel entry point
heroes2-loading	H2DEMOW+0x00499937	6.78	ARITH	ADDR_SCALE+BYTE_PACK	st8(tbl+i*4+k, shl(sext8(L8[add(i,i*2)+base+k]),2)) for k=0..2; st8(tbl+i*4+3,4) ; same palette expand as the gameplay window, i reloaded from fp-4 eight times
heroes2-loading	MSS32+0x2000da61	5.73	OTHER	IO_POLL	v=L32[add(L32[g_base],L32[g_i]*4)+0x56c]; cmp(v,x) ; Miles voice-slot scan
heroes2-loading	H2DEMOW+0x004c7341	5.30	STREAM	RLE_TOKEN	p=add(L32[g],1) -> st32(g); t=L8[p-1]; test8(t,t) ; sprite RLE token fetch through a global cursor
heroes2-loading	MSS32+0x2000dae8	4.78	OTHER	COUNTER	i=add(L32[g],1) -> st32(g); cmp(i,n) ; back edge of the voice-slot scan
heroes2-loading	H2DEMOW+0x004c7700	3.30	MEM	MEMCOPY	rep_movsd(n>>2); rep_movsb(and(n,3)); dst=add(dst,n); st32(g_cursor,add(L32[g_cursor],n)) ; literal-run copy of the sprite blitter
heroes2-loading	MSS32+0x2000b5c9	3.22	OTHER	COUNTER	n=sub(L32[g1],1) -> st32(g1); p=add(L32[g2],0x8d4) -> st32(g2); test(n,n) ; Miles sample-slot walk
heroes2-loading	MSS32+0x20001298	2.69	OTHER	IO_POLL	cmp(L32[add(shl(L32[g1],5),L32[g2])],2) ; driver-slot state poll
heroes2-loading	MSS32+0x20001316	2.69	OTHER	COUNTER	i=add(L32[g1],1) -> st32(g1); cmp(i,L32[g2]) ; back edge of that poll
heroes2-loading	H2DEMOW+0x004976d8	2.16	STREAM	CRC_STEP	b=and(L32[fp-0xc],0x8000000) -> st32(fp-8); st32(fp-0xc,shl(L32[fp-0xc],1)); c=zext8(L8[L32[fp-0x18]]); st32(fp-0xc,add(L32[fp-0xc],c)); st32(fp-4,add(L32[fp-4],c)); cmp(L32[fp-8],0) ; two-accumulator rolling checksum over the file being loaded, a shift-and-add accumulator plus a plain sum, every value a stack slot reloaded per byte
heroes2-loading	MSS32+0x2000e0d4	1.93	OTHER	COUNTER	n=sub(L32[g1],1) -> st32(g1); p=add(L32[g2],0x72c) -> st32(g2); test(n,n) ; second Miles slot walk, 0x72c stride
heroes2-loading	H2DEMOW+0x004d3280	1.86	OTHER	CALL_GLUE	push x4; this=ecx; cmp(L32[L32[esp+0x10]],4) ; C++ method prologue with a tag test
heroes2-loading	H2DEMOW+0x004c7651	1.59	OTHER	CMP_SKIP	st32(g1,dst); st32(g2,n); test(n,n) ; blitter ladder spill and zero test
heroes2-loading	H2DEMOW+0x004c735f	1.45	OTHER	CMP_SKIP	st32(g1,dst); st32(g2,row); st32(g3,n); and(n,0x3f) ; three spills then the 6-bit run-length extract
heroes2-loading	H2DEMOW+0x004c53b6	1.30	OTHER	CALL_GLUE	push L32[fp+8]; vt=L32[L32[fp-8]]; this=L32[fp-8]; call L32[vt+8] ; virtual call through vtable slot 2, one per list element
heroes2-loading	H2DEMOW+0x004d3298	1.24	OTHER	CALL_GLUE	r=0; pop x4; ret 4 ; epilogue of the 0x004d3280 method
heroes2-loading	MSS32+0x2000b453	1.21	OTHER	IO_POLL	cmp(L32[add(L32[g],8)],x) ; slot-field poll, base reloaded from a global
heroes2-loading	H2DEMOW+0x004c5a20	1.20	OTHER	CALL_GLUE	prologue; f=L16[this+0x16]; test8(and(f,2),2) ; widget method entry with a style-flag test
heroes2-loading	H2DEMOW+0x004c766c	1.10	ARITH	ADDR_SCALE	n=t; dst=add(base,row); src=L32[g_cursor] ; literal-run setup, destination formed from two registers and the source cursor reloaded from a global
heroes2-loading	MSS32+0x2000da7a	1.08	OTHER	IO_POLL	st32(slot+0x66c,sub(L32[slot+0x66c],1)); v=L32[add(L32[g_base],L32[g_i]*4)+0x66c]; cmp(v,0) ; per-voice countdown then reload of the same slot through the two globals
heroes2-loading	MSS32+0x2000d9ee	0.97	OTHER	IO_POLL	cmp(L32[add(L32[g],8)],4) ; slot-state poll at the head of the 0x2000e0d4 walk
heroes2-loading	H2DEMOW+0x004c53c5	0.87	OTHER	CALL_GLUE	st32(fp-4,r); st32(fp-0x10,L32[fp-4]) ; returned pointer bounced through two stack slots before the loop body
heroes2-loading	H2DEMOW+0x004c5408	0.87	OTHER	COUNTER	p=L32[add(L32[fp-8],8)] -> st32(fp-8) ; linked-list next pointer, the cursor lives in a stack slot and is reloaded each step
heroes2-loading	H2DEMOW+0x00499927	0.85	OTHER	COUNTER	i=add(L32[fp-4],1) -> st32(fp-4); cmp(L32[fp-4],0xf6) ; 246-entry palette loop counter, incremented in memory then reloaded to compare
heroes2-loading	H2DEMOW+0x004c7728	0.85	OTHER	COUNTER	tbl=L32[g1]; y=add(L32[g2],1) -> st32(g2); dst=add(dst,L32[g3]) ; sprite row advance through three globals
heroes2-loading	MSS32+0x200012ca	0.83	OTHER	CALL_GLUE	s=add(shl(L32[g1],5),L32[g2]); st32(s+0xc,sub(L32[s+0xc],L32[s+0x10])); s recomputed from the same two globals; push L32[s+8]; call L32[s+4] ; Miles per-slot callback dispatch
quake2-loading	ref_soft+0x1000583e	13.81	STREAM	RLE_TOKEN+MEMFILL	run: v=pack32(dup8(al)); rep_stosd(v, n>>2); rep_stosb(and(n,3)); y+=n; cmp(y, ld16(hdr+8)); jle ; PCX/WAL run-length expand, the fill arm
quake2-loading	quake2+0x00426313	5.36	ARITH	FIXPT_STEP	st8(base+i+0x14, sar(acc,8)); i++; acc2=ld32(esp+0x14)+step2; st32 back; cmp(i,n); jl ; 8.8 interpolator writing one byte per step
quake2-loading	ref_soft+0x1000580c	5.02	STREAM	RLE_TOKEN	tok=ld8(p++); st32(cursor,p); cmp(and(tok,0xc0),0xc0); jnz ; token fetch, run-vs-literal test
quake2-loading	quake2+0x004262c1	4.69	ARITH	FIXPT_STEP	v=sar(acc,8); acc+=ld32(step); cmp(ld32(mode),2); jnz ; the 2-way switch head of the same 8.8 interpolator
quake2-loading	ref_soft+0x10005a0f	3.62	ARITH	LUT_XLAT	st8(ld32(obj+0x54)+i-1, al); i++; cmp(i,n); jl ; colour-keyed pic store, destination base reloaded from the object every iteration
quake2-loading	quake2+0x0041a26d	3.19	ARITH	BYTE_PACK	st32(q, or(shl(or(shl(or(ld8(p+1),ld8(p-1)),8),ld8(p)),8),ld8(p-6))); p+=4; q+=4; cmp(p+base,end); jb ; 24bpp->32bpp channel repack
quake2-loading	ref_soft+0x10005a00	2.90	STREAM	RLE_TOKEN	v=ld8(src+i); cmp(v,0xff); jnz ; colour-key skip test of the pic loop
quake2-loading	ref_soft+0x10005832	2.76	STREAM	RLE_TOKEN	n=1; m=n; n--; test(m); jle ; literal arm: run length forced to one
quake2-loading	quake2+0x004262d5	2.68	OTHER	CALL_GLUE	push(ld16(tbl+idx*2)); call thunk ; per-sample argument marshalling
quake2-loading	quake2+0x004262fe	2.68	OTHER	CMP_SKIP	cmp(ld32(p+0xc),2); jnz ; mode re-test after the call returns
quake2-loading	ref_soft+0x10005837	2.51	STREAM	RLE_TOKEN	m=n; n--; test(m); jle ; literal-arm tail, shared entry with rank 8
quake2-loading	quake2+0x00423230	2.07	OTHER	CALL_GLUE	push(ld32(esp+4)); call [iat] ; forwarder to an imported function
quake2-loading	quake2+0x004262e3	2.01	ARITH	FIELD_REPACK	esp+=4; movsx16(ret); jmp ; sign-extend of the returned 16-bit sample
quake2-loading	quake2+0x0042323b	1.38	OTHER	CALL_GLUE	esp+=4; ret ; epilogue of the forwarder
quake2-loading	quake2+0x00423290	1.38	OTHER	CALL_GLUE	ld16(esp+4); ret ; the imported stub itself
quake2-loading	quake2+0x00423564	1.07	MEM	STRSEARCH	a=movsx8(ld8(p++)); b=movsx8(ld8(q++)); m=n; n--; test(m); jnz ; strncmp body
quake2-loading	quake2+0x00423520	0.97	MEM	STRSEARCH	prologue of the same strncmp: three pushes, args from [esp+N], first pair of movsx8 loads, test(n); jz
quake2-loading	quake2+0x00419b9b	0.56	STREAM	CRC_STEP	x=or(and(b,c),and(not(b),d)); x+=ld32(esp+N); a+=x; a=or(shr(a,29),shl(a,3)) [rol 3/7/11]; repeated ; MD4 round 1 (Com_BlockChecksum), all message words in stack slots; TRUNCATED at --max-ops
quake2-loading	quake2+0x00419e17	0.56	STREAM	CRC_STEP	x=or(or(and(b,c),and(b,d)),and(c,d)); a=a+x+0x5a827999; a=rol(a,{3,5,9,13}) ; MD4 round 2, same routine as rank 18; TRUNCATED at --max-ops
quake2-loading	quake2+0x0041a000	0.56	STREAM	CRC_STEP	x=xor(xor(b,c),d); a=a+x+0x6ed9eba1; a=rol(a,{3,9,11,15}) ; MD4 round 3, same routine as ranks 18/19; TRUNCATED at --max-ops
quake2-loading	ref_soft+0x10005822	0.53	STREAM	RLE_TOKEN	n=and(tok,0x3f); v=ld8(p++); st32(cursor,p); jmp ; run arm: length from the low 6 bits of the token
quake2-loading	quake2+0x004267fd	0.52	ARITH	FIELD_REPACK	st32(dst+i*2-4, or(shl(hi,16), and(lo,0xffff))); i-=2; jnz ; two 16-bit samples packed per dword into the sound buffer
quake2-loading	ref_soft+0x1000418d	0.52	OTHER	COUNTER	p+=0x80; q+=ld32(stride_g); n--; jnz ; row-advance tail of a table build, stride reloaded from a global every iteration
quake2-loading	ref_soft+0x10005ba9	0.49	MEM	STRSEARCH	v=ld8(p); cmp(v, ld8(q)); jnz ; byte-compare scan head
quake2-loading	ref_soft+0x10009e4b	0.46	ARITH	DOT3	x87: fmul(ld32(n),ld32(v)) x3, faddp x2, fadd(ld32(n+4)), fcom vs [esp+edx+0x14]; fnstsw; test ah,1 ; plane-distance dot product in the world walk
starcraft-loading	smackw32+0x1000efad	4.40	STREAM	GETBITS(1)+TABLE_DECODE	idx=and(shr(node,13),0xffff8); bits--; b=and(bitbuf,1); bitbuf=shr(bitbuf,1) [movd/psrlq mm0]; jb ; Smacker Huffman tree walk, exactly one bit per step, accumulator in mm0
starcraft-loading	smackw32+0x1000eecd	4.38	STREAM	GETBITS(1)+TABLE_DECODE	same one-bit tree-walk step in the second (byte) tree at 0x1000eecd ; identical dataflow to rank 1, different tree globals
starcraft-loading	smackw32+0x1000ef03	3.98	STREAM	TABLE_DECODE(MARKER_SWAP)+REFILL	t=ld32(a); st32(a,v); b=ld32(g1); v2=ld32(b); st32(b,t); st32(ld32(g2),v2); then bits=ld8(cnt_g); cmp(bits,0x20); ja ; Smacker big-tree marker rotate followed by the refill test
starcraft-loading	smackw32+0x1000ef28	3.28	STREAM	REFILL+TABLE_DECODE	mm2=ld64(p); p+=4; mm0=or(shl(mm2, and(bits-1,63)), mm0); idx=and(mm0,0xfff); e=ld32(ld32(tbl_g)+idx*4); bits=bits+0x20-and(e,0xff); mm0=shr(mm0,and(e,0xff)); node=ld32(shr(e,8)+ld32(base_g)); cmp16(mark,node); jnz ; 12-bit lookahead table decode with the 32-bit refill fused in
starcraft-loading	smackw32+0x1000eea0	3.12	STREAM	TABLE_DECODE+GETBITS	idx=and(mm0,0xfff); e=ld32(ld32(tbl_g)+idx*4); bits-=and(e,0xff); mm0=shr(mm0,and(e,0xff)); node=ld32(shr(e,8)+ld32(base_g)); cmp16(mark,node); jnz ; the no-refill arm of the same 12-bit decode
starcraft-loading	smackw32+0x1000ee4f	3.06	STREAM	REFILL+TABLE_DECODE	identical to rank 4 (refill + 12-bit table + consume), second copy of the routine for the other tree
starcraft-loading	storm+0x150288a0	3.05	OTHER	CALL_GLUE	push x3; ld32(esp+N) x2; cmp(ld32(h+0x18), len); jb ; stream-read prologue, one call per decoded chunk
starcraft-loading	smackw32+0x1000ef80	2.99	STREAM	TABLE_DECODE+GETBITS	same 12-bit table decode + consume as rank 5, entered from the refill-not-needed branch
starcraft-loading	smackw32+0x1000efea	2.85	STREAM	TABLE_DECODE(MARKER_SWAP)	t=ld32(a); st32(a,v); b=ld32(g1); v2=ld32(b); st32(b,t); st32(ld32(g2),v2); ret ; the three-pointer marker rotate on its own, ending in a return
starcraft-loading	smackw32+0x1000efd2	2.61	STREAM	TABLE_DECODE(MARKER)+FIELD_REPACK	st8(cnt_g,bits); v=or(shl(ld16hi(node),16),ld16lo(node)) via ror 16 twice; cmp(ld32(ld32(m_g)), node); jz ; leaf reached: 16-bit value split out of the node dword and matched against marker 0
starcraft-loading	smackw32+0x1000efc9	2.51	STREAM	TABLE_DECODE	p+=idx; node=ld32(p); cmp16(mark,node); jz ; the descend-one-level step of the tree walk (2 ops + branch, tightest loop in the window)
starcraft-loading	smackw32+0x1000eee9	2.50	STREAM	TABLE_DECODE	same descend-one-level step in the second tree
starcraft-loading	storm+0x15026807	2.44	ARITH	LUT_XLAT	i=shl(and(ld32(p+4),0xff),2); s=ld32(ld32(esp+i+0x84c)-a)+ld32(ld32(esp+i+0x44c)-b)+ld32(ld32(esp+i+0x4c)-c); cmp(s, ld32(esp+0x14)); jnb ; three byte-indexed pointer tables summed and compared against a limit
